id,answer
1,a
2,a
<<<<<<< HEAD
3,d
4,a
5,b
6,c
7,a
8,c
9,c
10,a
11,b
12,a
13,d
14,a
15,a
16,a
17,d
18,a
19,b
20,a
21,c
22,d
23,a
24,a
25,a
26,a
27,a
28,a
29,d
30,d
31,c
32,d
33,a
34,b
35,a
36,a
37,b
38,a
39,d
40,c
41,c
42,d
43,a
44,a
45,b
46,a
47,a
=======
3,b
4,c
5,d
6,b
7,c
8,d
9,a
10,a
11,b
12,d
13,d
14,b
15,d
16,c
17,c
18,a
19,b
20,a
21,d
22,a
23,a
24,a
25,d
26,c
27,d
28,c
29,a
30,d
31,b
32,c
33,a
34,b
35,a
36,d
37,b
38,d
39,b
40,a
41,a
42,c
43,d
44,a
45,a
46,b
47,d
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
48,a
49,c
50,b
51,d
<<<<<<< HEAD
52,b
=======
52,d
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
53,c
54,a
55,a
56,a
<<<<<<< HEAD
57,b
58,d
59,a
=======
57,a
58,a
59,d
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
60,c
61,a
62,a
63,c
<<<<<<< HEAD
64,b
65,a
=======
64,c
65,d
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
66,b
67,a
68,c
69,a
70,a
71,b
<<<<<<< HEAD
72,a
73,a
74,d
75,a
76,a
77,d
78,a
79,c
80,a
=======
72,c
73,d
74,a
75,a
76,a
77,a
78,d
79,a
80,b
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
81,d
82,b
83,d
84,b
<<<<<<< HEAD
85,c
86,d
87,c
88,a
89,a
90,b
=======
85,a
86,a
87,c
88,d
89,a
90,c
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
91,a
92,a
93,c
94,a
95,a
96,d
97,a
<<<<<<< HEAD
98,c
99,b
100,b
101,a
102,d
103,a
104,a
105,d
106,d
107,c
108,c
=======
98,d
99,c
100,d
101,a
102,c
103,a
104,b
105,c
106,c
107,d
108,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
109,a
110,a
111,d
112,d
113,d
114,c
115,d
<<<<<<< HEAD
116,c
117,a
118,d
119,c
120,d
121,a
122,a
123,d
124,a
125,a
126,b
127,a
128,b
129,d
130,c
131,a
132,b
133,a
134,a
135,b
136,a
137,d
138,a
139,a
140,a
141,a
142,c
143,b
144,b
145,b
146,a
147,b
148,c
149,b
150,d
151,a
152,d
153,a
154,d
155,d
156,a
157,a
158,b
159,a
160,a
161,b
162,c
163,a
164,a
165,d
166,b
167,a
168,b
169,c
170,a
171,c
172,c
173,c
174,c
175,d
=======
116,b
117,d
118,d
119,a
120,b
121,d
122,d
123,a
124,a
125,a
126,a
127,c
128,d
129,a
130,c
131,b
132,a
133,a
134,a
135,d
136,a
137,d
138,b
139,a
140,b
141,a
142,d
143,b
144,a
145,a
146,c
147,b
148,b
149,c
150,b
151,b
152,a
153,a
154,a
155,a
156,b
157,b
158,a
159,a
160,a
161,c
162,a
163,c
164,b
165,d
166,d
167,a
168,a
169,b
170,c
171,d
172,a
173,a
174,d
175,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
176,a
177,a
178,c
179,b
180,a
181,c
<<<<<<< HEAD
182,a
183,a
=======
182,b
183,b
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
184,a
185,a
186,d
187,a
<<<<<<< HEAD
188,a
189,a
190,a
191,a
192,a
193,d
194,b
195,b
196,a
197,c
=======
188,c
189,b
190,a
191,b
192,b
193,b
194,b
195,c
196,c
197,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
198,b
199,a
200,a
201,a
202,c
203,a
<<<<<<< HEAD
204,d
=======
204,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
205,a
206,a
207,a
208,a
209,c
210,d
211,a
<<<<<<< HEAD
212,c
213,a
214,c
215,c
216,a
217,a
218,a
219,b
220,a
221,a
222,c
223,c
=======
212,b
213,a
214,a
215,d
216,a
217,c
218,a
219,a
220,b
221,a
222,d
223,b
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
224,a
225,a
226,b
227,a
228,b
229,d
<<<<<<< HEAD
230,c
231,a
232,b
233,c
234,b
235,a
236,b
237,a
238,b
239,a
240,a
241,a
242,a
243,d
=======
230,d
231,c
232,d
233,d
234,a
235,d
236,d
237,a
238,c
239,a
240,a
241,c
242,d
243,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
244,c
245,d
246,b
247,b
248,a
<<<<<<< HEAD
249,a
250,a
251,a
252,b
253,d
254,c
255,c
256,a
257,b
=======
249,d
250,b
251,d
252,a
253,d
254,a
255,c
256,d
257,c
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
258,a
259,a
260,c
261,a
262,a
263,a
264,a
<<<<<<< HEAD
265,a
266,a
267,a
268,a
269,a
270,a
271,d
272,d
273,c
274,a
275,a
276,a
277,a
278,b
279,b
280,d
281,d
282,a
283,a
284,a
285,a
286,a
287,a
288,c
289,a
290,d
291,b
292,a
293,b
294,c
295,a
296,a
297,a
298,d
299,a
300,b
301,c
=======
265,c
266,b
267,b
268,a
269,d
270,c
271,a
272,a
273,c
274,a
275,b
276,d
277,c
278,b
279,b
280,b
281,c
282,d
283,a
284,a
285,a
286,c
287,b
288,b
289,b
290,b
291,a
292,d
293,b
294,a
295,b
296,c
297,a
298,b
299,b
300,a
301,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
302,a
303,b
304,a
<<<<<<< HEAD
305,c
306,b
307,a
308,c
309,a
310,a
311,a
312,b
313,a
314,a
315,a
316,a
=======
305,a
306,a
307,c
308,c
309,a
310,c
311,a
312,a
313,d
314,a
315,d
316,c
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
317,a
318,d
319,a
320,d
321,a
<<<<<<< HEAD
322,b
323,c
324,a
325,a
326,c
327,b
328,a
329,a
330,a
=======
322,d
323,d
324,a
325,d
326,c
327,b
328,c
329,d
330,c
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
331,d
332,d
333,b
334,a
335,c
336,b
337,a
338,a
<<<<<<< HEAD
339,a
340,c
341,b
342,a
343,b
344,a
345,b
346,b
347,b
348,a
349,d
350,b
351,a
352,d
353,d
354,a
355,b
356,b
357,d
358,a
359,a
360,d
361,a
362,a
363,b
364,a
365,a
366,b
=======
339,c
340,c
341,b
342,a
343,c
344,b
345,a
346,b
347,d
348,a
349,d
350,a
351,b
352,a
353,d
354,a
355,d
356,c
357,b
358,b
359,a
360,b
361,a
362,a
363,b
364,d
365,b
366,c
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
367,c
368,a
369,a
370,a
371,a
<<<<<<< HEAD
372,a
373,a
374,a
375,b
376,b
377,b
378,d
379,a
380,d
381,d
382,b
383,a
384,c
385,a
=======
372,d
373,a
374,b
375,b
376,b
377,a
378,b
379,c
380,b
381,b
382,b
383,a
384,a
385,b
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
386,a
387,a
388,d
389,c
390,a
391,a
<<<<<<< HEAD
392,c
393,b
394,d
395,a
396,b
397,a
=======
392,b
393,a
394,d
395,d
396,b
397,b
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
398,a
399,d
400,a
<<<<<<< HEAD
401,a
=======
401,b
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
402,a
403,a
404,a
<<<<<<< HEAD
405,a
406,b
=======
405,d
406,a
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
407,a
408,b
409,c
410,a
411,a
412,c
413,a
<<<<<<< HEAD
414,c
415,a
416,a
417,b
418,b
419,d
420,c
421,a
422,a
423,a
424,a
425,a
426,c
427,a
428,a
=======
414,a
415,a
416,a
417,d
418,b
419,c
420,c
421,a
422,c
423,d
424,a
425,b
426,a
427,c
428,c
>>>>>>> 77c109004015f1544946a5a56ff142227b77b6c3
429,b
430,a
431,c
432,b
433,a
<<<<<<< HEAD
434,b
